Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2002-08-29 00:00:00,0.26249998807907104,31.537059783935547,37.16999816894531,21.65999984741211,14.199999809265137,38.03499984741211,15.55710506439209,,77.37999725341797,33.040000915527344,73.25048065185547,17.139999389648438,54.15999984741211,26.600000381469727,25.200000762939453,23.809999465942383,62.32500076293945,48.41603088378906,25.290000915527344,5.372499942779541,31.129032135009766,43.935001373291016,30.34000015258789,21.827499389648438,,,27.789073944091797,35.150001525878906,53.20000076293945,35.38999938964844
2002-08-30 00:00:00,0.26339301466941833,31.563318252563477,37.06999969482422,21.81999969482422,13.819999694824219,38.314998626708984,15.4683198928833,,77.30000305175781,32.93000030517578,72.06501007080078,16.670000076293945,54.310001373291016,26.399999618530273,25.5,23.760000228881836,62.474998474121094,48.20610809326172,24.540000915527344,5.397500038146973,31.38519859313965,44.32500076293945,30.420000076293945,22.087499618530273,,,27.879005432128906,34.75,53.47999954223633,35.45000076293945
2002-09-03 00:00:00,0.2508929967880249,29.18250274658203,35.459999084472656,21.315000534057617,13.069999694824219,36.20000076293945,14.531145095825195,,73.75,31.860000610351562,69.16825866699219,15.859999656677246,52.68000030517578,24.75,24.959999084472656,23.030000686645508,60.01499938964844,45.67748260498047,23.510000228881836,5.272500038146973,29.677419662475586,43.27000045776367,29.6299991607666,21.1299991607666,,,26.404115676879883,33.72999954223633,51.869998931884766,33.619998931884766
2002-09-04 00:00:00,0.25857099890708923,30.19784927368164,36.849998474121094,21.325000762939453,13.270000457763672,36.7400016784668,14.836959838867188,,75.5,32.59000015258789,70.4875717163086,16.110000610351562,54.34000015258789,25.389999389648438,25.25,22.239999771118164,60.32500076293945,46.8797721862793,24.104999542236328,5.271249771118164,30.62618637084961,44.279998779296875,30.469999313354492,21.700000762939453,,,26.97968292236328,33.43000030517578,52.34000015258789,33.81999969482422
2002-09-05 00:00:00,0.2532140016555786,29.856483459472656,36.029998779296875,21.280000686645508,12.770000457763672,36.595001220703125,14.56074047088623,,72.88999938964844,32.099998474121094,69.0057373046875,15.109999656677246,54.41999816894531,24.100000381469727,24.674999237060547,21.969999313354492,60.3650016784668,46.08778762817383,22.954999923706055,5.233749866485596,30.294118881225586,44.92499923706055,29.639999389648438,21.5625,,,26.45807456970215,33.060001373291016,50.939998626708984,33.77000045776367
2002-09-06 00:00:00,0.2567859888076782,30.372909545898438,37.209999084472656,21.600000381469727,13.029999732971191,37.349998474121094,15.152640342712402,,72.33999633789062,33.25,69.98088073730469,16.219999313354492,54.91999816894531,23.90999984741211,24.94499969482422,21.360000610351562,61.314998626708984,46.374046325683594,23.90999984741211,5.235000133514404,29.17457389831543,44.974998474121094,30.059999465942383,21.65999984741211,,,26.826797485351562,34.529998779296875,52.779998779296875,34.310001373291016
2002-09-09 00:00:00,0.2566069960594177,30.512958526611328,37.349998474121094,21.559999465942383,12.960000038146973,37.0,15.68535041809082,,74.30000305175781,33.2599983215332,71.22370910644531,16.079999923706055,55.20000076293945,23.59000015258789,25.174999237060547,21.450000762939453,62.029998779296875,47.13740539550781,24.350000381469727,5.118750095367432,29.051233291625977,45.42499923706055,30.559999465942383,22.110000610351562,,,26.844783782958984,34.70000076293945,53.279998779296875,34.0
2002-09-10 00:00:00,0.2558929920196533,30.635499954223633,37.18000030517578,21.434999465942383,13.430000305175781,37.685001373291016,16.030624389648438,,73.41000366210938,33.0,72.27533721923828,16.469999313354492,55.38999938964844,23.149999618530273,25.485000610351562,21.299999237060547,62.595001220703125,47.36641311645508,24.895000457763672,5.266250133514404,29.36432647705078,45.75,30.899999618530273,22.200000762939453,,,27.465316772460938,35.02000045776367,54.779998779296875,34.790000915527344
2002-09-11 00:00:00,0.2551789879798889,30.45168685913086,37.08000183105469,21.475000381469727,13.569999694824219,37.189998626708984,15.961569786071777,,73.69000244140625,33.22999954223633,70.93690490722656,16.6200008392334,55.47999954223633,22.979999542236328,25.549999237060547,21.34000015258789,61.95000076293945,47.299617767333984,24.290000915527344,5.375,29.26944923400879,45.939998626708984,31.719999313354492,22.19499969482422,,,28.571483612060547,35.40999984741211,54.20000076293945,34.599998474121094
2002-09-12 00:00:00,0.2524999976158142,29.62015151977539,36.45000076293945,21.19499969482422,13.039999961853027,36.560001373291016,15.290749549865723,,72.19999694824219,32.47999954223633,68.70936584472656,15.699999809265137,53.970001220703125,22.010000228881836,24.774999618530273,20.309999465942383,61.165000915527344,46.85114669799805,23.575000762939453,5.222499847412109,28.415559768676758,45.599998474121094,31.75,22.415000915527344,,,27.91497802734375,34.63999938964844,53.119998931884766,33.59000015258789
2002-09-13 00:00:00,0.2530359923839569,29.9265079498291,35.58000183105469,20.31999969482422,13.050000190734863,36.595001220703125,15.290749549865723,,73.0,33.45000076293945,69.31166076660156,16.030000686645508,54.13999938964844,22.040000915527344,24.825000762939453,20.530000686645508,59.915000915527344,47.01335906982422,23.954999923706055,5.216249942779541,28.244781494140625,46.0,32.099998474121094,22.950000762939453,,,27.29444694519043,35.119998931884766,54.400001525878906,34.08000183105469
2002-09-16 00:00:00,0.2589290142059326,30.495452880859375,37.22999954223633,20.34000015258789,12.930000305175781,37.0,15.606430053710938,,72.5999984741211,34.02000045776367,69.13957977294922,15.699999809265137,54.900001525878906,21.709999084472656,25.34000015258789,21.690000534057617,59.529998779296875,46.57442855834961,23.889999389648438,5.276249885559082,28.652751922607422,46.5,31.950000762939453,23.1200008392334,,,27.887998580932617,35.150001525878906,54.75,34.400001525878906
2002-09-17 00:00:00,0.26428601145744324,29.10372543334961,36.290000915527344,19.725000381469727,12.539999961853027,35.685001373291016,15.764269828796387,,70.87000274658203,33.15999984741211,68.59464263916016,15.569999694824219,53.59000015258789,21.549999237060547,24.475000381469727,18.90999984741211,58.334999084472656,45.171756744384766,23.645000457763672,5.212500095367432,27.99810218811035,46.029998779296875,31.1200008392334,22.872499465942383,,,27.465316772460938,33.90999984741211,54.2599983215332,33.06999969482422
2002-09-18 00:00:00,0.26821398735046387,28.4122371673584,36.77000045776367,19.5049991607666,12.5,35.619998931884766,15.527509689331055,,70.41000366210938,33.18000030517578,66.49139404296875,15.279999732971191,53.849998474121094,20.440000534057617,24.649999618530273,18.15999984741211,59.17499923706055,44.904579162597656,23.875,5.381249904632568,27.94117546081543,46.04999923706055,30.959999084472656,22.950000762939453,,,27.14156150817871,33.97999954223633,54.380001068115234,33.20000076293945
2002-09-19 00:00:00,0.26035699248313904,27.61571502685547,35.52000045776367,19.0,12.0,34.96500015258789,14.610065460205078,,67.1500015258789,32.209999084472656,61.950286865234375,14.979999542236328,51.959999084472656,19.8700008392334,23.834999084472656,17.850000381469727,58.595001220703125,43.1202278137207,23.600000381469727,5.50124979019165,27.561670303344727,45.560001373291016,30.139999389648438,22.399999618530273,,,26.467069625854492,32.650001525878906,53.70000076293945,32.36000061035156
2002-09-20 00:00:00,0.26553601026535034,27.817033767700195,36.47999954223633,18.934999465942383,12.079999923706055,35.275001525878906,15.034259796142578,,67.36000061035156,31.229999542236328,61.108985900878906,14.899999618530273,52.29999923706055,20.18000030517578,23.760000228881836,17.950000762939453,59.72999954223633,43.64503860473633,23.729999542236328,5.512499809265137,27.26755142211914,45.54499816894531,29.65999984741211,22.5049991607666,,,26.673912048339844,32.459999084472656,54.70000076293945,32.869998931884766
2002-09-23 00:00:00,0.26517900824546814,27.370630264282227,35.400001525878906,18.829999923706055,11.960000038146973,34.845001220703125,14.866555213928223,,65.66999816894531,29.8799991607666,60.58317565917969,14.130000114440918,52.849998474121094,19.25,23.5,18.15999984741211,58.744998931884766,43.17748260498047,22.614999771118164,5.287499904632568,27.17267608642578,45.369998931884766,30.149999618530273,22.447500228881836,,,26.71887969970703,33.400001525878906,52.599998474121094,32.720001220703125
2002-09-24 00:00:00,0.2614290118217468,27.099288940429688,34.959999084472656,18.43000030517578,11.430000305175781,34.349998474121094,14.550874710083008,,66.30999755859375,28.40999984741211,57.122371673583984,14.34000015258789,53.61000061035156,18.639999389648438,23.600000381469727,17.899999618530273,56.564998626708984,43.79771041870117,22.81999969482422,5.276249885559082,26.565465927124023,44.02000045776367,29.8799991607666,21.592500686645508,,,25.85552978515625,32.70000076293945,51.4900016784668,31.950000762939453
2002-09-25 00:00:00,0.26660698652267456,27.74700927734375,35.40999984741211,19.0,11.960000038146973,35.084999084472656,15.221694946289062,,67.44999694824219,27.600000381469727,60.23900604248047,15.199999809265137,53.650001525878906,18.889999389648438,24.2450008392334,18.100000381469727,56.650001525878906,45.51526641845703,23.2549991607666,5.546249866485596,27.798860549926758,44.54999923706055,30.0,21.834999084472656,,,26.38612937927246,34.0,52.040000915527344,32.61000061035156
2002-09-26 00:00:00,0.26249998807907104,28.788616180419922,36.54999923706055,19.46500015258789,11.359999656677246,36.599998474121094,15.68535041809082,,68.04000091552734,28.270000457763672,59.29254150390625,15.149999618530273,55.540000915527344,19.270000457763672,24.21500015258789,18.450000762939453,57.875,46.51717758178711,23.100000381469727,5.701250076293945,28.7001895904541,45.375,30.399999618530273,21.885000228881836,,,26.673912048339844,35.11000061035156,53.709999084472656,34.150001525878906
2002-09-27 00:00:00,0.26285699009895325,27.554443359375,34.70000076293945,18.75,11.229999542236328,35.48500061035156,15.034259796142578,,66.12999725341797,26.760000228881836,57.705543518066406,14.619999885559082,55.099998474121094,18.34000015258789,24.2450008392334,18.3700008392334,56.275001525878906,44.14122009277344,22.625,5.482500076293945,27.11574935913086,44.064998626708984,28.790000915527344,21.850000381469727,,,25.26197624206543,33.88999938964844,51.2400016784668,32.81999969482422
2002-09-30 00:00:00,0.2589290142059326,27.291854858398438,34.130001068115234,18.610000610351562,10.479999542236328,34.625,14.935609817504883,,66.02999877929688,26.100000381469727,55.745697021484375,13.890000343322754,54.08000183105469,18.989999771118164,23.979999542236328,17.65999984741211,54.98500061035156,43.61641311645508,21.8700008392334,5.397500038146973,27.533206939697266,44.689998626708984,28.719999313354492,21.80500030517578,,,24.67741584777832,30.760000228881836,49.2400016784668,31.899999618530273
2002-10-01 00:00:00,0.25910699367523193,28.639816284179688,36.0,19.334999084472656,10.9399995803833,36.05500030517578,15.48805046081543,,68.44999694824219,26.3799991607666,58.479923248291016,14.670000076293945,56.29999923706055,19.739999771118164,25.030000686645508,18.280000686645508,58.13999938964844,44.2557258605957,23.114999771118164,5.434999942779541,28.937381744384766,45.584999084472656,30.030000686645508,22.11750030517578,,,26.601966857910156,31.799999237060547,51.709999084472656,33.91999816894531
2002-10-02 00:00:00,0.2530359923839569,27.30936050415039,34.380001068115234,18.889999389648438,10.050000190734863,35.79999923706055,16.030624389648438,,65.55000305175781,24.950000762939453,57.00764846801758,14.300000190734863,58.29999923706055,18.25,24.950000762939453,18.190000534057617,57.23500061035156,44.799617767333984,22.80500030517578,5.387499809265137,28.453510284423828,45.279998779296875,28.329999923706055,22.375,,,27.29444694519043,30.81999969482422,51.31999969482422,32.650001525878906
2002-10-03 00:00:00,0.2553569972515106,26.223987579345703,34.310001373291016,18.7450008392334,9.8100004196167,36.16999816894531,15.784000396728516,,62.900001525878906,24.959999084472656,57.36137771606445,13.84000015258789,57.97999954223633,17.6200008392334,25.309999465942383,17.790000915527344,57.5099983215332,44.16984558105469,22.399999618530273,5.255000114440918,28.121442794799805,44.904998779296875,27.979999542236328,22.895000457763672,,,29.587718963623047,31.670000076293945,51.099998474121094,33.18000030517578
